Ticker,Name,Sector,Score,Tier,Session,PM Change %,PM Volume,PM Price,Prev Close,Gap %,L1 Catalyst,L2 Volume,L3 Price,L4 RS,L5 Options,Data Sources
ON,ON Semiconductor Corporation,Technology,3,WATCH,after-hours,-14.56,19027944,117.26,131.82,-11.05,"EPS surprise -100.0%; Strong analyst consensus: 16 analysts, EPS $1.62 tight range (±7%); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 16.2% of ADV (need ≥20%),Gap -11.0% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; Call/Put vol ratio 3.3×; ATM IV 97% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
QCOM,QUALCOMM Incorporated,Technology,3,WATCH,after-hours,-26.63,23783472,215.94,242.57,-10.98,"EPS surprise -100.0%; Analyst upgrade today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 9.1% of ADV (need ≥20%),Gap -11.0% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; ATM IV 95% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
AMD,"Advanced Micro Devices, Inc.",Technology,3,WATCH,after-hours,-56.82,45749376,466.38,523.2,-10.86,"EPS surprise -100.0%; Revenue estimate +7.1% vs prior period ($26.1B avg, 11 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 13.4% of ADV (need ≥20%),Gap -10.9% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 98th percentile; ATM IV 77% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
COHR,"Coherent, Inc.",Technology,3,WATCH,after-hours,-44.91,6330619,376.99,421.9,-10.64,"EPS surprise -100.0%; Revenue estimate +5.6% vs prior period ($3.4B avg, 6 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 10.3% of ADV (need ≥20%),Gap -10.6% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 85th percentile; ATM IV 114% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
MPWR,"Monolithic Power Systems, Inc.",Technology,3,WATCH,after-hours,-171.55,1368121,1481.05,1652.6,-10.38,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 19.7% of ADV (need ≥20%),Gap -10.4% vs prior close; Testing/reclaiming 50-day MA (1471.12),Stock +0.0% — insufficient RS edge,IV rank 100th percentile; ATM IV 74% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
GLW,Corning Incorporated,Technology,3,WATCH,after-hours,-20.12,13945465,177.58,197.7,-10.18,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 9.6% of ADV (need ≥20%),Gap -10.2% vs prior close; Testing/reclaiming 50-day MA (172.52),Stock +0.0% — insufficient RS edge,IV rank 100th percentile; ATM IV 87% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
LRCX,Lam Research Corporation,Technology,3,WATCH,after-hours,-33.13,13256025,303.28,336.41,-9.85,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 14.8% of ADV (need ≥20%),Gap -9.8% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 82th percentile; ATM IV 75% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
AMAT,"Applied Materials, Inc.",Technology,3,WATCH,after-hours,-48.69,11888258,453.01,501.7,-9.71,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 14.2% of ADV (need ≥20%),Gap -9.7% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 99th percentile; ATM IV 70% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
ORCL,Oracle Corporation,Technology,3,WATCH,after-hours,-22.93,2431955,213.41,236.34,-9.7,"EPS surprise -100.0%; Revenue estimate +11.4% vs prior period ($63.6B avg, 9 analysts); Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 1.1% of ADV (need ≥20%),Gap -9.7% vs prior close; Testing/reclaiming 200-day MA (206.78),Stock +0.0% — insufficient RS edge,ATM IV 118% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
KLAC,KLA Corporation,Technology,3,WATCH,after-hours,-201.9,1856574,1929.2,2131.1,-9.47,"EPS surprise -100.0%; Analyst maintain today; 1 article(s) — ""KLA (KLAC) Suffers a Larger Drop Than the General Market: Ke"" (Zacks Investment Research)",Pre-mkt vol 18.2% of ADV (need ≥20%),Gap -9.5% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 74th percentile; ATM IV 68% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
FCX,Freeport-McMoRan Inc.,Basic Materials,3,WATCH,after-hours,-6.32,18031578,63.37,69.69,-9.07,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 14.0% of ADV (need ≥20%),Gap -9.1% vs prior close; Testing/reclaiming 50-day MA (63.26),Stock +0.0% — insufficient RS edge,IV rank 66th percentile; ATM IV 66% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
CIEN,Ciena Corporation,Technology,3,WATCH,after-hours,-47.42,4176906,488.21,535.63,-8.85,"EPS surprise -100.0%; Revenue estimate +8.2% vs prior period ($2.5B avg, 6 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 17.0% of ADV (need ≥20%),Gap -8.9% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 83th percentile; ATM IV 102% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
LITE,Lumentum Holdings Inc.,Technology,3,WATCH,after-hours,-81.42,7472075,863.66,945.08,-8.62,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 11.9% of ADV (need ≥20%),Gap -8.6% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 78th percentile; ATM IV 104% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
CDNS,"Cadence Design Systems, Inc.",Technology,3,WATCH,after-hours,-35.49,3498811,376.19,411.68,-8.62,"EPS surprise -100.0%; Revenue estimate +10.1% vs prior period ($2.2B avg, 8 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 14.4% of ADV (need ≥20%),Gap -8.6% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 88th percentile; ATM IV 51% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
STX,Seagate Technology Holdings plc,Technology,3,WATCH,after-hours,-78.52,3594402,847.47,925.99,-8.48,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 10.4% of ADV (need ≥20%),Gap -8.5% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 57th percentile; ATM IV 90% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
HPE,Hewlett Packard Enterprise Company,Technology,3,WATCH,after-hours,-4.49,35727592,49.2,53.69,-8.36,"EPS surprise -100.0%; Revenue estimate +6.3% vs prior period ($13.8B avg, 4 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 9.6% of ADV (need ≥20%),Gap -8.4% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; Call/Put vol ratio 9.3×; ATM IV 74% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
MCHP,Microchip Technology Incorporated,Technology,3,WATCH,after-hours,-7.96,18950161,88.34,96.3,-8.27,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 16.1% of ADV (need ≥20%),Gap -8.3% vs prior close; Testing/reclaiming 50-day MA (85.61),Stock +0.0% — insufficient RS edge,IV rank 87th percentile; Call/Put vol ratio 6.2×; ATM IV 78% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
Q,"Qnity Electronics, Inc.",Technology,3,WATCH,after-hours,-12.75,1861275,142.05,154.8,-8.24,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 9.0% of ADV (need ≥20%),Gap -8.2% vs prior close; Testing/reclaiming 50-day MA (141.37),Stock +0.0% — insufficient RS edge,IV rank 78th percentile; Call/Put vol ratio 4.1×; ATM IV 66% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
MRNA,"Moderna, Inc.",Healthcare,3,WATCH,after-hours,-4.15,6064766,47.44,51.59,-8.04,"EPS surprise +100.0%; High analyst uncertainty: EPS range $-1.20–$-0.75 (48% spread); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 7.9% of ADV (need ≥20%),Gap -8.0% vs prior close,Stock +0.0% — insufficient RS edge,Call/Put vol ratio 7.8×; ATM IV 75% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
SWKS,"Skyworks Solutions, Inc.",Technology,3,WATCH,after-hours,-6.36,7032848,73.57,79.93,-7.96,"EPS surprise -100.0%; Revenue estimate +11.9% vs prior period ($1.2B avg, 5 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 13.3% of ADV (need ≥20%),Gap -8.0% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; Call/Put vol ratio 21.5×; ATM IV 58% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
NEM,Newmont Corporation,Basic Materials,3,WATCH,after-hours,-8.62,9369432,99.71,108.33,-7.96,"EPS surprise -100.0%; Revenue estimate +89.1% vs prior period ($11.9B avg, 3 analysts); Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 12.7% of ADV (need ≥20%),Gap -8.0% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 81th percentile; ATM IV 59% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
AVGO,Broadcom Inc.,Technology,3,WATCH,after-hours,-33.18,49843645,385.73,418.91,-7.92,"EPS surprise -100.0%; High analyst uncertainty: EPS range $5.08–$8.32 (49% spread); Analyst maintain today; 1 article(s) — ""Here's What I Think Is Going on With Broadcom Stock"" (Fool - Investing News)",Pre-mkt vol 18.1% of ADV (need ≥20%),Gap -7.9% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 94th percentile; ATM IV 61% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
VRT,Vertiv Holdings Co,Industrials,3,WATCH,after-hours,-23.41,7287543,300.51,323.92,-7.23,"EPS surprise -100.0%; Revenue estimate +8.3% vs prior period ($5.9B avg, 6 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 12.5% of ADV (need ≥20%),Gap -7.2% vs prior close,Stock +0.0% — insufficient RS edge,ATM IV 80% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
COIN,"Coinbase Global, Inc.",Financial Services,3,WATCH,after-hours,-11.73,16367920,152.4,164.13,-7.15,"EPS surprise -100.0%; Revenue estimate +6.6% vs prior period ($1.9B avg, 14 analysts); High analyst uncertainty: EPS range $0.94–$1.45 (45% spread); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 16.2% of ADV (need ≥20%),Gap -7.1% vs prior close,Stock +0.0% — insufficient RS edge,ATM IV 77% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
ANET,"Arista Networks, Inc.",Technology,3,WATCH,after-hours,-11.74,9017896,154.27,166.01,-7.07,"EPS surprise -100.0%; Analyst maintain today; 1 article(s) — ""Arista Networks: TAM Expansion And Surging AI Demand"" (Seeking Alpha)",Pre-mkt vol 7.9% of ADV (need ≥20%),Gap -7.1% vs prior close; Testing/reclaiming 50-day MA (152.28),Stock +0.0% — insufficient RS edge,IV rank 92th percentile; ATM IV 63% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
SATS,EchoStar Corporation,Technology,3,WATCH,after-hours,-8.36,9561130,116.28,124.64,-6.71,"EPS surprise +100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 13.9% of ADV (need ≥20%),Gap -6.7% vs prior close,Stock +0.0% — insufficient RS edge,Call/Put vol ratio 3.6×; ATM IV 114% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
CRWD,"CrowdStrike Holdings, Inc.",Technology,3,WATCH,after-hours,-48.07,5208772,671.02,719.09,-6.68,"EPS surprise -100.0%; Strong analyst consensus: 13 analysts, EPS $2.24 tight range (±3%); Revenue estimate +5.6% vs prior period ($2.3B avg, 14 analysts); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 13.3% of ADV (need ≥20%),Gap -6.7% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 78th percentile; ATM IV 58% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
TXN,Texas Instruments Incorporated,Technology,3,WATCH,after-hours,-20.31,11328962,285.06,305.37,-6.65,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 13.8% of ADV (need ≥20%),Gap -6.7% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 50th percentile; ATM IV 60% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
HOOD,"Robinhood Markets, Inc.",Financial Services,3,WATCH,after-hours,-5.86,35106966,82.47,88.33,-6.63,"EPS surprise -100.0%; Revenue estimate +8.6% vs prior period ($1.8B avg, 4 analysts); High analyst uncertainty: EPS range $0.71–$0.88 (21% spread); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 13.2% of ADV (need ≥20%),Gap -6.6% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 82th percentile; ATM IV 75% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
NTAP,"NetApp, Inc.",Technology,3,WATCH,after-hours,-11.83,3257519,167.04,178.87,-6.61,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 7.5% of ADV (need ≥20%),Gap -6.6% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; Call/Put vol ratio 3.4×; ATM IV 51% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
